true    0     1     2    3    4    5    6     7    8    9
pred                                                     
0     972     2     3    0    0    0    1     1    0    1
1       0  1133     2    0    0    0    0     0    0    0
2       6     3  1021    0    1    0    0     0    1    0
3       0     3    16  980    0    7    0     2    1    1
4       0     2     1    0  968    0    0     1    2    8
5       1     5     3    4    0  875    1     1    0    2
6       8    10     0    0    2    0  935     0    3    0
7       0     8     7    0    2    0    0  1007    1    3
8       5     1     7    0    1    2    0     0  955    3
9       9     2     4    1    4    0    1     4    0  984
