true     0     1     2     3     4     5     6     7     8     9
pred                                                            
0     5891     9     7     0     1     1     8     2     4     0
1        0  6730     7     0     0     0     0     5     0     0
2        5    23  5912     2     0     1     2     7     6     0
3        5    13   125  5906     0    24     0    18    26    14
4        1    19     2     0  5772     0    13     6     5    24
5        9    24    16     4     1  5323    12     6    17     9
6       26    21     7     0     6     1  5843     0    14     0
7        2    30    31     2    21     0     0  6165     2    12
8       22    14    17     1    11     7    15     2  5741    21
9       16    10    11     1    27     2     1    19     7  5855
